Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_255.0_-3,5,255,-3,2000,-0.004420582,0.006263517,0.067001621,-0.000386327,-0.004482568,0.000347435,1.5,1.795398,1.439484,-0.1929455,2.765805,-2.958751,2.862278,0.1779572,-0.2391189,-0.2753278,-0.3767828,0.101455
5_256.25_-3,5,256.25,-3,2000,-0.002799328,0.003696341,0.047271577,-0.000227652,-0.003315754,0.000224478,1.25,1.782299,1.510728,-0.1757295,2.96809,-3.14382,3.055955,0.1357854,-0.1990405,-0.2129013,-0.3054912,0.09258985
5_262.5_-3,5,262.5,-3,2000,-0.006049063,0.008362219,0.085774735,-0.00054425,-0.005627616,0.000464907,1.75,1.705499,1.333706,-0.195539,2.53906,-2.734599,2.63683,0.1858964,-0.2490783,-0.2765895,-0.3873731,0.1107836
5_262.5_-3,5,262.5,-3,2000,-0.004411284,0.006269796,0.068019115,-0.000384581,-0.004566244,0.00034837,1.5,1.818212,1.46601,-0.1925324,2.819737,-3.01227,2.916003,0.1761008,-0.2377228,-0.2740036,-0.3747245,0.100721
5_262.5_-3,5,262.5,-3,1931,-0.002789042,0.003672422,0.047576723,-0.000225881,-0.003350225,0.000220084,1.25,1.785774,1.528637,-0.1756418,3.000193,-3.175835,3.088014,0.1285684,-0.1970654,-0.2092057,-0.3016683,0.09246262
5_270_-3,5,270,-3,2000,-0.007976558,0.010306948,0.105622171,-0.000732706,-0.006786124,0.000578642,2,1.613926,1.24911,-0.1992523,2.332694,-2.531946,2.43232,0.182408,-0.2577237,-0.2635115,-0.3894794,0.125968
5_270.0_-3,5,270,-3,2000,-0.004391024,0.00624795,0.06898085,-0.000381949,-0.004644993,0.000348764,1.5,1.839209,1.491662,-0.1917103,2.87076,-3.062471,2.966616,0.1737738,-0.235751,-0.271132,-0.371317,0.100185
5_270_-3,5,270,-3,2000,-0.001702428,0.002175003,0.032998528,-0.000150009,-0.002372366,0.000109355,1,1.82699,1.773048,-0.1723506,3.342102,-3.514453,3.428278,0.02697141,-0.1983311,-0.1535779,-0.27512,0.1215421
5_270.0_-3,5,270,-3,2000,-0.010613367,0.011531101,0.124414072,-0.000969135,-0.007723539,0.000656308,2.25,1.496587,1.166073,-0.2127917,2.079574,-2.292365,2.18597,0.1652568,-0.2700619,-0.2332462,-0.386685,0.1534388
5_273.75_-3,5,273.75,-3,2000,-0.004371965,0.006233606,0.069406179,-0.000379362,-0.004681752,0.000348932,1.5,1.848367,1.503168,-0.1909401,2.894778,-3.085718,2.990248,0.1725994,-0.2339528,-0.2694739,-0.3686898,0.09921584
5_275.0_-3,5,275,-3,2000,-0.018106363,0.016410945,0.176563655,-0.001482304,-0.010054589,0.00082833,2.75,1.407474,1.117921,-0.2474557,1.778157,-2.025613,1.901885,0.1447766,-0.2778126,-0.2290727,-0.3923489,0.1632762
5_277.5_-3,5,277.5,-3,2000,-0.0043499,0.006211842,0.069810121,-0.000376645,-0.004716856,0.000349022,1.5,1.85697,1.514208,-0.1900409,2.917805,-3.107846,3.012825,0.1713808,-0.2320742,-0.2674427,-0.3657956,0.09835282
